X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
0,5.25,0,0,0,0
0,4.5,0,0,0,0
0,3.75,0,0,0,0
0,3,0,0,0,0
0,2.25,0,0,0,0
0,1.5,0,0,0,0
0,0.75,0,0,0,0
0,5.25,0.4,0,0,0
0,4.5,0.4,0,0,0
0,3.75,0.4,0,0,0
0,3,0.4,0,0,0
0,2.25,0.4,0,0,0
0,1.5,0.4,0,0,0
0,0.75,0.4,0,0,0
0,0,0.4,0,0,0
0,-0.75,0.4,0,0,0
0,-1.5,0.4,0,0,0
0,-2.25,0.4,0,0,0
0,-3,0.4,0,0,0
0,-3.75,0.4,0,0,0
0,-4.5,0.4,0,0,0
0,-5.25,0.4,0,0,0
0,-6,0.4,0,0,0
0,6,0,0,0,0
0,6,0.4,0,0,0
0,0,0,0,0,0
0,-0.75,0,0,0,0
0,-1.5,0,0,0,0
0,-2.25,0,0,0,0
0,-3,0,0,0,0
0,-3.75,0,0,0,0
0,-4.5,0,0,0,0
0,-5.25,0,0,0,0
0,-6,0,0,0,0
46.5,-0.75,0,-4.92E-04,-2.12E-02,3.41E-08
45,-0.75,0,-4.91E-04,-2.02E-02,-4.81E-08
43.5,-0.75,0,-4.90E-04,-1.92E-02,-1.08E-07
42,-0.75,0,-4.87E-04,-1.81E-02,-1.55E-07
40.5,-0.75,0,-4.82E-04,-1.71E-02,-1.97E-07
39,-0.75,0,-4.77E-04,-1.61E-02,-2.37E-07
37.5,-0.75,0,-4.71E-04,-1.51E-02,-2.76E-07
36,-0.75,0,-4.63E-04,-1.42E-02,-3.15E-07
34.5,-0.75,0,-4.55E-04,-1.32E-02,-3.54E-07
33,-0.75,0,-4.46E-04,-1.23E-02,-3.93E-07
31.5,-0.75,0,-4.36E-04,-1.14E-02,-4.31E-07
30,-0.75,0,-4.24E-04,-1.05E-02,-4.70E-07
28.5,-0.75,0,-4.12E-04,-9.57E-03,-5.09E-07
27,-0.75,0,-3.99E-04,-8.72E-03,-5.48E-07
25.5,-0.75,0,-3.85E-04,-7.90E-03,-5.87E-07
24,-0.75,0,-3.70E-04,-7.10E-03,-6.26E-07
22.5,-0.75,0,-3.54E-04,-6.34E-03,-6.65E-07
21,-0.75,0,-3.37E-04,-5.61E-03,-7.03E-07
19.5,-0.75,0,-3.18E-04,-4.91E-03,-7.42E-07
18,-0.75,0,-2.99E-04,-4.25E-03,-7.80E-07
16.5,-0.75,0,-2.79E-04,-3.64E-03,-8.17E-07
15,-0.75,0,-2.58E-04,-3.06E-03,-8.54E-07
13.5,-0.75,0,-2.36E-04,-2.52E-03,-8.88E-07
12,-0.75,0,-2.13E-04,-2.03E-03,-9.20E-07
10.5,-0.75,0,-1.89E-04,-1.59E-03,-9.46E-07
9,-0.75,0,-1.65E-04,-1.19E-03,-9.63E-07
7.5,-0.75,0,-1.38E-04,-8.49E-04,-9.66E-07
6,-0.75,0,-1.11E-04,-5.57E-04,-9.45E-07
