X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
0,4.5,0,0,0,0
0,3,0,0,0,0
0,1.5,0,0,0,0
0,4.5,1,0,0,0
0,3,1,0,0,0
0,1.5,1,0,0,0
0,0,1,0,0,0
0,-1.5,1,0,0,0
0,-3,1,0,0,0
0,-4.5,1,0,0,0
0,-6,1,0,0,0
0,6,0,0,0,0
0,6,1,0,0,0
0,0,0,0,0,0
0,-1.5,0,0,0,0
0,-3,0,0,0,0
0,-4.5,0,0,0,0
0,-6,0,0,0,0
46.5,-1.5,0,-3.94E-04,-8.48E-03,6.69E-08
45,-1.5,0,-3.93E-04,-8.07E-03,-9.50E-08
43.5,-1.5,0,-3.92E-04,-7.66E-03,-2.13E-07
42,-1.5,0,-3.89E-04,-7.25E-03,-3.06E-07
40.5,-1.5,0,-3.86E-04,-6.85E-03,-3.89E-07
39,-1.5,0,-3.82E-04,-6.45E-03,-4.69E-07
37.5,-1.5,0,-3.77E-04,-6.05E-03,-5.47E-07
36,-1.5,0,-3.71E-04,-5.66E-03,-6.25E-07
34.5,-1.5,0,-3.64E-04,-5.28E-03,-7.03E-07
33,-1.5,0,-3.57E-04,-4.90E-03,-7.81E-07
31.5,-1.5,0,-3.48E-04,-4.53E-03,-8.59E-07
30,-1.5,0,-3.39E-04,-4.17E-03,-9.38E-07
28.5,-1.5,0,-3.30E-04,-3.82E-03,-1.02E-06
27,-1.5,0,-3.19E-04,-3.48E-03,-1.09E-06
25.5,-1.5,0,-3.08E-04,-3.15E-03,-1.17E-06
24,-1.5,0,-2.96E-04,-2.84E-03,-1.25E-06
22.5,-1.5,0,-2.83E-04,-2.53E-03,-1.33E-06
21,-1.5,0,-2.69E-04,-2.24E-03,-1.41E-06
19.5,-1.5,0,-2.55E-04,-1.96E-03,-1.48E-06
18,-1.5,0,-2.39E-04,-1.70E-03,-1.56E-06
16.5,-1.5,0,-2.23E-04,-1.45E-03,-1.64E-06
