X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
46.5,4.5,1.15,5.18E-04,-3.68E-03,-7.98E-13
45,4.5,1.15,5.17E-04,-3.50E-03,-7.62E-13
43.5,4.5,1.15,5.14E-04,-3.32E-03,-7.27E-13
42,4.5,1.15,5.11E-04,-3.15E-03,-6.91E-13
40.5,4.5,1.15,5.06E-04,-2.97E-03,-6.55E-13
39,4.5,1.15,5.00E-04,-2.80E-03,-6.20E-13
37.5,4.5,1.15,4.94E-04,-2.63E-03,-5.84E-13
36,4.5,1.15,4.86E-04,-2.46E-03,-5.49E-13
34.5,4.5,1.15,4.77E-04,-2.29E-03,-5.13E-13
33,4.5,1.15,4.68E-04,-2.13E-03,-4.78E-13
31.5,4.5,1.15,4.57E-04,-1.97E-03,-4.44E-13
30,4.5,1.15,4.45E-04,-1.82E-03,-4.10E-13
28.5,4.5,1.15,4.33E-04,-1.66E-03,-3.76E-13
27,4.5,1.15,4.19E-04,-1.52E-03,-3.43E-13
25.5,4.5,1.15,4.04E-04,-1.37E-03,-3.11E-13
24,4.5,1.15,3.88E-04,-1.24E-03,-2.80E-13
22.5,4.5,1.15,3.71E-04,-1.11E-03,-2.50E-13
21,4.5,1.15,3.54E-04,-9.79E-04,-2.22E-13
19.5,4.5,1.15,3.35E-04,-8.59E-04,-1.94E-13
18,4.5,1.15,3.15E-04,-7.45E-04,-1.68E-13
16.5,4.5,1.15,2.94E-04,-6.38E-04,-1.43E-13
15,4.5,1.15,2.72E-04,-5.38E-04,-1.20E-13
13.5,4.5,1.15,2.49E-04,-4.46E-04,-9.80E-14
12,4.5,1.15,2.25E-04,-3.61E-04,-7.82E-14
10.5,4.5,1.15,2.00E-04,-2.85E-04,-6.04E-14
9,4.5,1.15,1.74E-04,-2.17E-04,-4.46E-14
7.5,4.5,1.15,1.47E-04,-1.58E-04,-3.11E-14
6,4.5,1.15,1.19E-04,-1.08E-04,-1.98E-14
4.5,4.5,1.15,9.02E-05,-6.79E-05,-1.10E-14
3,4.5,1.15,5.98E-05,-3.67E-05,-4.71E-15
1.5,4.5,1.15,2.93E-05,-1.44E-05,-1.07E-15
46.5,3,1.15,3.43E-04,-3.68E-03,-7.99E-13
45,3,1.15,3.43E-04,-3.50E-03,-7.63E-13
43.5,3,1.15,3.41E-04,-3.32E-03,-7.28E-13
42,3,1.15,3.39E-04,-3.15E-03,-6.92E-13
40.5,3,1.15,3.36E-04,-2.97E-03,-6.56E-13
39,3,1.15,3.32E-04,-2.80E-03,-6.21E-13
37.5,3,1.15,3.28E-04,-2.63E-03,-5.85E-13
36,3,1.15,3.23E-04,-2.46E-03,-5.50E-13
34.5,3,1.15,3.17E-04,-2.29E-03,-5.14E-13
33,3,1.15,3.10E-04,-2.13E-03,-4.79E-13
31.5,3,1.15,3.03E-04,-1.97E-03,-4.45E-13
30,3,1.15,2.96E-04,-1.81E-03,-4.11E-13
28.5,3,1.15,2.87E-04,-1.66E-03,-3.77E-13
27,3,1.15,2.78E-04,-1.51E-03,-3.45E-13
25.5,3,1.15,2.68E-04,-1.37E-03,-3.13E-13
24,3,1.15,2.58E-04,-1.23E-03,-2.82E-13
22.5,3,1.15,2.46E-04,-1.10E-03,-2.52E-13
21,3,1.15,2.34E-04,-9.74E-04,-2.23E-13
19.5,3,1.15,2.22E-04,-8.54E-04,-1.95E-13
18,3,1.15,2.09E-04,-7.40E-04,-1.69E-13
16.5,3,1.15,1.95E-04,-6.33E-04,-1.44E-13
15,3,1.15,1.80E-04,-5.33E-04,-1.21E-13
13.5,3,1.15,1.65E-04,-4.40E-04,-9.94E-14
