X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
16.5,-2.25,0,-6.72E-02,-0.2918,-1.96E-04
15,-2.25,0,-6.22E-02,-0.24559,-2.05E-04
13.5,-2.25,0,-5.69E-02,-0.20281,-2.13E-04
12,-2.25,0,-5.14E-02,-0.16363,-2.21E-04
10.5,-2.25,0,-4.57E-02,-0.12819,-2.27E-04
9,-2.25,0,-3.97E-02,-9.67E-02,-2.31E-04
7.5,-2.25,0,-3.34E-02,-6.92E-02,-2.31E-04
6,-2.25,0,-2.69E-02,-4.59E-02,-2.26E-04
4.5,-2.25,0,-2.02E-02,-2.70E-02,-2.11E-04
3,-2.25,0,-1.32E-02,-1.27E-02,-1.80E-04
1.5,-2.25,0,-6.37E-03,-3.32E-03,-1.20E-04
46.5,-3,0,-0.15823,-1.6976,5.35E-06
45,-3,0,-0.1579,-1.6154,-1.92E-05
43.5,-3,0,-0.15724,-1.5335,-3.62E-05
42,-3,0,-0.15621,-1.4522,-5.00E-05
40.5,-3,0,-0.15483,-1.3714,-6.28E-05
39,-3,0,-0.15312,-1.2915,-7.53E-05
37.5,-3,0,-0.1511,-1.2125,-8.77E-05
36,-3,0,-0.14875,-1.1346,-1.00E-04
34.5,-3,0,-0.1461,-1.058,-1.13E-04
33,-3,0,-0.14313,-0.98276,-1.25E-04
31.5,-3,0,-0.13985,-0.90909,-1.38E-04
30,-3,0,-0.13625,-0.83714,-1.50E-04
28.5,-3,0,-0.13235,-0.76705,-1.63E-04
27,-3,0,-0.12813,-0.69901,-1.75E-04
25.5,-3,0,-0.1236,-0.63314,-1.88E-04
24,-3,0,-0.11875,-0.56963,-2.00E-04
22.5,-3,0,-0.1136,-0.50861,-2.12E-04
21,-3,0,-0.10813,-0.45025,-2.25E-04
19.5,-3,0,-0.10235,-0.3947,-2.37E-04
18,-3,0,-9.63E-02,-0.34212,-2.49E-04
16.5,-3,0,-8.98E-02,-0.29266,-2.61E-04
15,-3,0,-8.31E-02,-0.24649,-2.73E-04
13.5,-3,0,-7.61E-02,-0.20375,-2.84E-04
12,-3,0,-6.88E-02,-0.16461,-2.94E-04
10.5,-3,0,-6.11E-02,-0.12922,-3.02E-04
9,-3,0,-5.31E-02,-9.77E-02,-3.08E-04
7.5,-3,0,-4.48E-02,-7.03E-02,-3.08E-04
6,-3,0,-3.62E-02,-4.71E-02,-2.99E-04
4.5,-3,0,-2.72E-02,-2.82E-02,-2.78E-04
3,-3,0,-1.79E-02,-1.38E-02,-2.35E-04
1.5,-3,0,-8.61E-03,-4.02E-03,-1.56E-04
46.5,-3.75,0,-0.19829,-1.6978,9.27E-07
45,-3.75,0,-0.19784,-1.6154,-2.72E-05
43.5,-3.75,0,-0.19696,-1.5336,-4.66E-05
42,-3.75,0,-0.19563,-1.4523,-6.29E-05
40.5,-3.75,0,-0.19389,-1.3717,-7.86E-05
39,-3.75,0,-0.19174,-1.2918,-9.41E-05
37.5,-3.75,0,-0.18921,-1.2129,-1.10E-04
36,-3.75,0,-0.18628,-1.1351,-1.25E-04
34.5,-3.75,0,-0.18296,-1.0585,-1.41E-04
33,-3.75,0,-0.17925,-0.98329,-1.56E-04
31.5,-3.75,0,-0.17515,-0.90967,-1.72E-04
30,-3.75,0,-0.17065,-0.83777,-1.88E-04
28.5,-3.75,0,-0.16577,-0.76774,-2.03E-04
27,-3.75,0,-0.1605,-0.69974,-2.19E-04
25.5,-3.75,0,-0.15483,-0.63394,-2.34E-04
24,-3.75,0,-0.14878,-0.57047,-2.50E-04
22.5,-3.75,0,-0.14233,-0.50951,-2.66E-04
21,-3.75,0,-0.1355,-0.4512,-2.81E-04
19.5,-3.75,0,-0.12827,-0.3957,-2.96E-04
18,-3.75,0,-0.12065,-0.34317,-3.12E-04
16.5,-3.75,0,-0.11265,-0.29377,-3.27E-04
15,-3.75,0,-0.10425,-0.24765,-3.41E-04
13.5,-3.75,0,-9.55E-02,-0.20497,-3.55E-04
12,-3.75,0,-8.63E-02,-0.16588,-3.68E-04
10.5,-3.75,0,-7.67E-02,-0.13054,-3.78E-04
9,-3.75,0,-6.67E-02,-9.91E-02,-3.84E-04
7.5,-3.75,0,-5.64E-02,-7.17E-02,-3.84E-04
6,-3.75,0,-4.56E-02,-4.86E-02,-3.73E-04
4.5,-3.75,0,-3.44E-02,-2.97E-02,-3.44E-04
3,-3.75,0,-2.28E-02,-1.52E-02,-2.89E-04
1.5,-3.75,0,-1.10E-02,-5.03E-03,-1.92E-04
46.5,-4.5,0,-0.23872,-1.6979,-8.73E-06
45,-4.5,0,-0.23808,-1.6156,-3.77E-05
43.5,-4.5,0,-0.23692,-1.5338,-5.76E-05
42,-4.5,0,-0.23528,-1.4526,-7.61E-05
40.5,-4.5,0,-0.23317,-1.372,-9.44E-05
39,-4.5,0,-0.23059,-1.2922,-1.13E-04
37.5,-4.5,0,-0.22754,-1.2134,-1.32E-04
36,-4.5,0,-0.22403,-1.1356,-1.50E-04
34.5,-4.5,0,-0.22004,-1.0591,-1.69E-04
33,-4.5,0,-0.21559,-0.98394,-1.88E-04
31.5,-4.5,0,-0.21067,-0.91038,-2.06E-04
30,-4.5,0,-0.20528,-0.83854,-2.25E-04
28.5,-4.5,0,-0.19942,-0.76858,-2.44E-04
27,-4.5,0,-0.19309,-0.70065,-2.63E-04
25.5,-4.5,0,-0.18629,-0.6349,-2.81E-04
24,-4.5,0,-0.17903,-0.5715,-3.00E-04
22.5,-4.5,0,-0.17129,-0.5106,-3.19E-04
21,-4.5,0,-0.16309,-0.45236,-3.37E-04
19.5,-4.5,0,-0.15442,-0.39693,-3.56E-04
18,-4.5,0,-0.14528,-0.34446,-3.74E-04
16.5,-4.5,0,-0.13567,-0.29512,-3.92E-04
15,-4.5,0,-0.12559,-0.24907,-4.09E-04
13.5,-4.5,0,-0.11504,-0.20645,-4.26E-04
12,-4.5,0,-0.10403,-0.16742,-4.40E-04
10.5,-4.5,0,-9.25E-02,-0.13215,-4.52E-04
9,-4.5,0,-8.06E-02,-0.10079,-4.59E-04
7.5,-4.5,0,-6.82E-02,-7.35E-02,-4.57E-04
6,-4.5,0,-5.53E-02,-5.04E-02,-4.41E-04
4.5,-4.5,0,-4.19E-02,-3.16E-02,-4.00E-04
3,-4.5,0,-2.80E-02,-1.71E-02,-3.23E-04
1.5,-4.5,0,-1.37E-02,-6.50E-03,-1.97E-04
46.5,-5.25,0,-0.27959,-1.698,-2.84E-05
45,-5.25,0,-0.27863,-1.6157,-4.87E-05
43.5,-5.25,0,-0.27716,-1.534,-6.89E-05
42,-5.25,0,-0.2752,-1.4529,-8.89E-05
40.5,-5.25,0,-0.27272,-1.3724,-1.10E-04
39,-5.25,0,-0.26971,-1.2927,-1.32E-04
37.5,-5.25,0,-0.26615,-1.2139,-1.53E-04
36,-5.25,0,-0.26205,-1.1362,-1.75E-04
34.5,-5.25,0,-0.2574,-1.0597,-1.97E-04
33,-5.25,0,-0.2522,-0.9847,-2.19E-04
31.5,-5.25,0,-0.24646,-0.91122,-2.41E-04
30,-5.25,0,-0.24017,-0.83946,-2.63E-04
28.5,-5.25,0,-0.23334,-0.76957,-2.84E-04
27,-5.25,0,-0.22595,-0.70171,-3.06E-04
25.5,-5.25,0,-0.21802,-0.63604,-3.28E-04
24,-5.25,0,-0.20955,-0.57272,-3.50E-04
22.5,-5.25,0,-0.20052,-0.5119,-3.72E-04
21,-5.25,0,-0.19095,-0.45373,-3.93E-04
19.5,-5.25,0,-0.18084,-0.39837,-4.15E-04
18,-5.25,0,-0.17017,-0.34599,-4.37E-04
16.5,-5.25,0,-0.15896,-0.29672,-4.58E-04
15,-5.25,0,-0.1472,-0.25074,-4.78E-04
13.5,-5.25,0,-0.1349,-0.2082,-4.98E-04
12,-5.25,0,-0.12205,-0.16925,-5.16E-04
