X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
46.5,4.5,1.15,4.14E-02,-0.29444,-6.38E-11
45,4.5,1.15,4.13E-02,-0.28015,-6.10E-11
43.5,4.5,1.15,4.11E-02,-0.26596,-5.81E-11
42,4.5,1.15,4.08E-02,-0.25186,-5.53E-11
40.5,4.5,1.15,4.05E-02,-0.23788,-5.24E-11
39,4.5,1.15,4.00E-02,-0.22403,-4.96E-11
37.5,4.5,1.15,3.95E-02,-0.21034,-4.67E-11
36,4.5,1.15,3.89E-02,-0.19684,-4.39E-11
34.5,4.5,1.15,3.82E-02,-0.18356,-4.11E-11
33,4.5,1.15,3.74E-02,-0.17053,-3.83E-11
31.5,4.5,1.15,3.66E-02,-0.15776,-3.55E-11
30,4.5,1.15,3.56E-02,-0.1453,-3.28E-11
28.5,4.5,1.15,3.46E-02,-0.13316,-3.01E-11
27,4.5,1.15,3.35E-02,-0.12137,-2.75E-11
25.5,4.5,1.15,3.23E-02,-0.10996,-2.49E-11
24,4.5,1.15,3.11E-02,-9.90E-02,-2.24E-11
22.5,4.5,1.15,2.97E-02,-8.84E-02,-2.00E-11
21,4.5,1.15,2.83E-02,-7.83E-02,-1.77E-11
19.5,4.5,1.15,2.68E-02,-6.87E-02,-1.55E-11
18,4.5,1.15,2.52E-02,-5.96E-02,-1.34E-11
16.5,4.5,1.15,2.35E-02,-5.10E-02,-1.14E-11
15,4.5,1.15,2.18E-02,-4.31E-02,-9.56E-12
13.5,4.5,1.15,1.99E-02,-3.57E-02,-7.84E-12
12,4.5,1.15,1.80E-02,-2.89E-02,-6.26E-12
10.5,4.5,1.15,1.60E-02,-2.28E-02,-4.83E-12
9,4.5,1.15,1.39E-02,-1.74E-02,-3.57E-12
7.5,4.5,1.15,1.18E-02,-1.27E-02,-2.48E-12
6,4.5,1.15,9.53E-03,-8.67E-03,-1.58E-12
4.5,4.5,1.15,7.21E-03,-5.43E-03,-8.79E-13
3,4.5,1.15,4.78E-03,-2.93E-03,-3.76E-13
1.5,4.5,1.15,2.35E-03,-1.15E-03,-8.53E-14
46.5,3,1.15,2.75E-02,-0.29439,-6.39E-11
45,3,1.15,2.74E-02,-0.28012,-6.11E-11
43.5,3,1.15,2.73E-02,-0.26591,-5.82E-11
42,3,1.15,2.71E-02,-0.25179,-5.54E-11
40.5,3,1.15,2.69E-02,-0.23778,-5.25E-11
39,3,1.15,2.66E-02,-0.22391,-4.97E-11
37.5,3,1.15,2.62E-02,-0.2102,-4.68E-11
36,3,1.15,2.58E-02,-0.19668,-4.40E-11
34.5,3,1.15,2.54E-02,-0.18338,-4.12E-11
33,3,1.15,2.48E-02,-0.17032,-3.84E-11
31.5,3,1.15,2.43E-02,-0.15754,-3.56E-11
30,3,1.15,2.36E-02,-0.14505,-3.29E-11
28.5,3,1.15,2.30E-02,-0.13289,-3.02E-11
27,3,1.15,2.22E-02,-0.12108,-2.76E-11
25.5,3,1.15,2.14E-02,-0.10966,-2.50E-11
24,3,1.15,2.06E-02,-9.86E-02,-2.25E-11
22.5,3,1.15,1.97E-02,-8.81E-02,-2.01E-11
21,3,1.15,1.88E-02,-7.79E-02,-1.78E-11
19.5,3,1.15,1.77E-02,-6.83E-02,-1.56E-11
18,3,1.15,1.67E-02,-5.92E-02,-1.35E-11
16.5,3,1.15,1.56E-02,-5.06E-02,-1.15E-11
15,3,1.15,1.44E-02,-4.26E-02,-9.68E-12
13.5,3,1.15,1.32E-02,-3.52E-02,-7.96E-12
12,3,1.15,1.19E-02,-2.84E-02,-6.38E-12
10.5,3,1.15,1.06E-02,-2.23E-02,-4.95E-12
9,3,1.15,9.18E-03,-1.68E-02,-3.69E-12
7.5,3,1.15,7.74E-03,-1.21E-02,-2.59E-12
6,3,1.15,6.24E-03,-8.10E-03,-1.68E-12
4.5,3,1.15,4.68E-03,-4.84E-03,-9.61E-13
3,3,1.15,3.06E-03,-2.36E-03,-4.34E-13
1.5,3,1.15,1.45E-03,-6.81E-04,-1.13E-13
46.5,1.5,1.15,1.37E-02,-0.29434,-6.40E-11
45,1.5,1.15,1.37E-02,-0.2801,-6.12E-11
43.5,1.5,1.15,1.36E-02,-0.26588,-5.83E-11
42,1.5,1.15,1.35E-02,-0.25175,-5.54E-11
40.5,1.5,1.15,1.34E-02,-0.23772,-5.26E-11
39,1.5,1.15,1.33E-02,-0.22384,-4.97E-11
37.5,1.5,1.15,1.31E-02,-0.21011,-4.69E-11
36,1.5,1.15,1.29E-02,-0.19658,-4.41E-11
34.5,1.5,1.15,1.26E-02,-0.18327,-4.12E-11
33,1.5,1.15,1.24E-02,-0.1702,-3.84E-11
31.5,1.5,1.15,1.21E-02,-0.1574,-3.57E-11
30,1.5,1.15,1.18E-02,-0.1449,-3.29E-11
28.5,1.5,1.15,1.15E-02,-0.13273,-3.03E-11
27,1.5,1.15,1.11E-02,-0.12091,-2.76E-11
25.5,1.5,1.15,1.07E-02,-0.10947,-2.51E-11
24,1.5,1.15,1.03E-02,-9.84E-02,-2.26E-11
22.5,1.5,1.15,9.82E-03,-8.78E-02,-2.02E-11
21,1.5,1.15,9.35E-03,-7.77E-02,-1.79E-11
19.5,1.5,1.15,8.84E-03,-6.81E-02,-1.57E-11
18,1.5,1.15,8.31E-03,-5.89E-02,-1.36E-11
