X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
0,5.25,0,0,0,0
0,4.5,0,0,0,0
0,3.75,0,0,0,0
0,3,0,0,0,0
0,2.25,0,0,0,0
0,1.5,0,0,0,0
0,0.75,0,0,0,0
0,5.25,0.4,0,0,0
0,4.5,0.4,0,0,0
0,3.75,0.4,0,0,0
0,3,0.4,0,0,0
0,2.25,0.4,0,0,0
0,1.5,0.4,0,0,0
0,0.75,0.4,0,0,0
0,0,0.4,0,0,0
0,-0.75,0.4,0,0,0
0,-1.5,0.4,0,0,0
0,-2.25,0.4,0,0,0
0,-3,0.4,0,0,0
0,-3.75,0.4,0,0,0
0,-4.5,0.4,0,0,0
0,-5.25,0.4,0,0,0
0,-6,0.4,0,0,0
0,6,0,0,0,0
0,6,0.4,0,0,0
0,0,0,0,0,0
0,-0.75,0,0,0,0
0,-1.5,0,0,0,0
0,-2.25,0,0,0,0
0,-3,0,0,0,0
0,-3.75,0,0,0,0
0,-4.5,0,0,0,0
0,-5.25,0,0,0,0
0,-6,0,0,0,0
46.5,-0.75,0,-0.24619,-10.608,1.70E-05
45,-0.75,0,-0.24572,-10.095,-2.40E-05
43.5,-0.75,0,-0.24479,-9.5832,-5.40E-05
42,-0.75,0,-0.24328,-9.0741,-7.77E-05
40.5,-0.75,0,-0.24118,-8.5689,-9.86E-05
39,-0.75,0,-0.23854,-8.0688,-1.18E-04
37.5,-0.75,0,-0.23538,-7.5745,-1.38E-04
36,-0.75,0,-0.23172,-7.0871,-1.57E-04
34.5,-0.75,0,-0.22757,-6.6076,-1.77E-04
33,-0.75,0,-0.22294,-6.1368,-1.96E-04
31.5,-0.75,0,-0.21781,-5.6758,-2.16E-04
30,-0.75,0,-0.21219,-5.2255,-2.35E-04
28.5,-0.75,0,-0.20609,-4.787,-2.55E-04
27,-0.75,0,-0.1995,-4.3611,-2.74E-04
25.5,-0.75,0,-0.19242,-3.9489,-2.94E-04
24,-0.75,0,-0.18485,-3.5514,-3.13E-04
22.5,-0.75,0,-0.17679,-3.1695,-3.32E-04
21,-0.75,0,-0.16825,-2.8042,-3.52E-04
19.5,-0.75,0,-0.15922,-2.4564,-3.71E-04
18,-0.75,0,-0.14969,-2.1273,-3.90E-04
16.5,-0.75,0,-0.13968,-1.8176,-4.09E-04
15,-0.75,0,-0.12919,-1.5285,-4.27E-04
13.5,-0.75,0,-0.1182,-1.2608,-4.44E-04
12,-0.75,0,-0.10672,-1.0156,-4.60E-04
10.5,-0.75,0,-9.47E-02,-0.79383,-4.73E-04
9,-0.75,0,-8.23E-02,-0.59642,-4.82E-04
7.5,-0.75,0,-6.92E-02,-0.42435,-4.83E-04
6,-0.75,0,-5.57E-02,-0.27863,-4.73E-04
4.5,-0.75,0,-4.16E-02,-0.16048,-4.43E-04
3,-0.75,0,-2.72E-02,-7.19E-02,-3.80E-04
1.5,-0.75,0,-1.31E-02,-1.63E-02,-2.54E-04
