X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
0,4.5,0,0,0,0
0,3,0,0,0,0
0,1.5,0,0,0,0
0,4.5,1,0,0,0
0,3,1,0,0,0
0,1.5,1,0,0,0
0,0,1,0,0,0
0,-1.5,1,0,0,0
0,-3,1,0,0,0
0,-4.5,1,0,0,0
0,-6,1,0,0,0
0,6,0,0,0,0
0,6,1,0,0,0
0,0,0,0,0,0
0,-1.5,0,0,0,0
0,-3,0,0,0,0
0,-4.5,0,0,0,0
0,-6,0,0,0,0
46.5,-1.5,0,-0.19695,-4.2383,3.34E-05
45,-1.5,0,-0.19657,-4.0332,-4.75E-05
43.5,-1.5,0,-0.19582,-3.8287,-1.07E-04
42,-1.5,0,-0.19459,-3.6252,-1.53E-04
40.5,-1.5,0,-0.1929,-3.4234,-1.95E-04
39,-1.5,0,-0.19078,-3.2235,-2.34E-04
37.5,-1.5,0,-0.18826,-3.026,-2.74E-04
36,-1.5,0,-0.18533,-2.8313,-3.13E-04
34.5,-1.5,0,-0.18201,-2.6396,-3.52E-04
33,-1.5,0,-0.1783,-2.4515,-3.91E-04
31.5,-1.5,0,-0.1742,-2.2673,-4.30E-04
30,-1.5,0,-0.16971,-2.0874,-4.69E-04
28.5,-1.5,0,-0.16482,-1.9122,-5.08E-04
27,-1.5,0,-0.15955,-1.742,-5.47E-04
25.5,-1.5,0,-0.15388,-1.5774,-5.86E-04
24,-1.5,0,-0.14783,-1.4186,-6.25E-04
22.5,-1.5,0,-0.14138,-1.266,-6.64E-04
21,-1.5,0,-0.13455,-1.1201,-7.03E-04
19.5,-1.5,0,-0.12732,-0.98117,-7.42E-04
18,-1.5,0,-0.11971,-0.8497,-7.81E-04
16.5,-1.5,0,-0.1117,-0.72604,-8.20E-04
15,-1.5,0,-0.1033,-0.61058,-8.59E-04
13.5,-1.5,0,-9.45E-02,-0.50372,-8.98E-04
