X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
0,4.5,0,0,0,0
0,3,0,0,0,0
0,1.5,0,0,0,0
0,4.5,1,0,0,0
0,3,1,0,0,0
0,1.5,1,0,0,0
0,0,1,0,0,0
0,-1.5,1,0,0,0
0,-3,1,0,0,0
0,-4.5,1,0,0,0
0,-6,1,0,0,0
0,6,0,0,0,0
0,6,1,0,0,0
0,0,0,0,0,0
0,-1.5,0,0,0,0
0,-3,0,0,0,0
0,-4.5,0,0,0,0
0,-6,0,0,0,0
46.5,-1.5,0,-3.15E-02,-0.67813,5.35E-06
45,-1.5,0,-3.15E-02,-0.64532,-7.60E-06
43.5,-1.5,0,-3.13E-02,-0.61258,-1.70E-05
42,-1.5,0,-3.11E-02,-0.58003,-2.45E-05
40.5,-1.5,0,-3.09E-02,-0.54774,-3.12E-05
39,-1.5,0,-3.05E-02,-0.51576,-3.75E-05
37.5,-1.5,0,-3.01E-02,-0.48416,-4.38E-05
36,-1.5,0,-2.97E-02,-0.453,-5.00E-05
34.5,-1.5,0,-2.91E-02,-0.42234,-5.63E-05
33,-1.5,0,-2.85E-02,-0.39224,-6.25E-05
31.5,-1.5,0,-2.79E-02,-0.36277,-6.88E-05
30,-1.5,0,-2.72E-02,-0.33399,-7.50E-05
28.5,-1.5,0,-2.64E-02,-0.30595,-8.13E-05
27,-1.5,0,-2.55E-02,-0.27873,-8.75E-05
25.5,-1.5,0,-2.46E-02,-0.25238,-9.38E-05
24,-1.5,0,-2.37E-02,-0.22697,-1.00E-04
22.5,-1.5,0,-2.26E-02,-0.20256,-1.06E-04
21,-1.5,0,-2.15E-02,-0.17921,-1.13E-04
19.5,-1.5,0,-2.04E-02,-0.15699,-1.19E-04
18,-1.5,0,-1.92E-02,-0.13595,-1.25E-04
16.5,-1.5,0,-1.79E-02,-0.11617,-1.31E-04
15,-1.5,0,-1.65E-02,-9.77E-02,-1.37E-04
