X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
46.5,4.5,1.15,0.25899,-1.8403,-3.99E-10
45,4.5,1.15,0.2583,-1.7509,-3.81E-10
43.5,4.5,1.15,0.25703,-1.6623,-3.63E-10
42,4.5,1.15,0.25525,-1.5742,-3.45E-10
40.5,4.5,1.15,0.25296,-1.4867,-3.28E-10
39,4.5,1.15,0.25015,-1.4002,-3.10E-10
37.5,4.5,1.15,0.24684,-1.3146,-2.92E-10
36,4.5,1.15,0.24302,-1.2303,-2.74E-10
34.5,4.5,1.15,0.23869,-1.1473,-2.57E-10
33,4.5,1.15,0.23385,-1.0658,-2.39E-10
31.5,4.5,1.15,0.2285,-0.98601,-2.22E-10
30,4.5,1.15,0.22264,-0.9081,-2.05E-10
28.5,4.5,1.15,0.21627,-0.83223,-1.88E-10
27,4.5,1.15,0.20939,-0.75856,-1.72E-10
25.5,4.5,1.15,0.202,-0.68727,-1.56E-10
24,4.5,1.15,0.1941,-0.61854,-1.40E-10
22.5,4.5,1.15,0.1857,-0.55251,-1.25E-10
21,4.5,1.15,0.17678,-0.48938,-1.11E-10
19.5,4.5,1.15,0.16736,-0.4293,-9.70E-11
18,4.5,1.15,0.15742,-0.37245,-8.38E-11
16.5,4.5,1.15,0.14698,-0.319,-7.14E-11
15,4.5,1.15,0.13602,-0.26911,-5.98E-11
13.5,4.5,1.15,0.12456,-0.22296,-4.90E-11
12,4.5,1.15,0.11258,-0.18071,-3.91E-11
10.5,4.5,1.15,0.1001,-0.14255,-3.02E-11
9,4.5,1.15,8.71E-02,-0.10863,-2.23E-11
7.5,4.5,1.15,7.36E-02,-7.91E-02,-1.55E-11
6,4.5,1.15,5.96E-02,-5.42E-02,-9.90E-12
4.5,4.5,1.15,4.51E-02,-3.40E-02,-5.49E-12
3,4.5,1.15,2.99E-02,-1.83E-02,-2.35E-12
1.5,4.5,1.15,1.47E-02,-7.22E-03,-5.33E-13
46.5,3,1.15,0.17167,-1.84,-4.00E-10
45,3,1.15,0.17131,-1.7507,-3.82E-10
43.5,3,1.15,0.17058,-1.6619,-3.64E-10
42,3,1.15,0.16946,-1.5737,-3.46E-10
40.5,3,1.15,0.16797,-1.4861,-3.28E-10
39,3,1.15,0.16611,-1.3994,-3.10E-10
37.5,3,1.15,0.16391,-1.3137,-2.93E-10
36,3,1.15,0.16136,-1.2293,-2.75E-10
34.5,3,1.15,0.15847,-1.1461,-2.57E-10
33,3,1.15,0.15525,-1.0645,-2.40E-10
31.5,3,1.15,0.15168,-0.98461,-2.22E-10
30,3,1.15,0.14777,-0.90657,-2.05E-10
28.5,3,1.15,0.14353,-0.83057,-1.89E-10
27,3,1.15,0.13894,-0.75678,-1.72E-10
25.5,3,1.15,0.13402,-0.68536,-1.56E-10
24,3,1.15,0.12875,-0.6165,-1.41E-10
22.5,3,1.15,0.12315,-0.55035,-1.26E-10
21,3,1.15,0.1172,-0.48709,-1.11E-10
19.5,3,1.15,0.11092,-0.42688,-9.76E-11
18,3,1.15,0.1043,-0.3699,-8.45E-11
16.5,3,1.15,9.73E-02,-0.31632,-7.21E-11
15,3,1.15,9.00E-02,-0.26631,-6.05E-11
13.5,3,1.15,8.24E-02,-0.22003,-4.97E-11
12,3,1.15,7.44E-02,-0.17766,-3.99E-11
10.5,3,1.15,6.61E-02,-0.13936,-3.09E-11
9,3,1.15,5.74E-02,-0.10531,-2.30E-11
7.5,3,1.15,4.84E-02,-7.57E-02,-1.62E-11
