X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
6,3,1.15,3.90E-02,-5.06E-02,-1.05E-11
4.5,3,1.15,2.92E-02,-3.03E-02,-6.01E-12
3,3,1.15,1.91E-02,-1.47E-02,-2.72E-12
1.5,3,1.15,9.05E-03,-4.26E-03,-7.06E-13
46.5,1.5,1.15,8.55E-02,-1.8396,-4.00E-10
45,1.5,1.15,8.54E-02,-1.7506,-3.82E-10
43.5,1.5,1.15,8.50E-02,-1.6618,-3.64E-10
42,1.5,1.15,8.45E-02,-1.5734,-3.47E-10
40.5,1.5,1.15,8.38E-02,-1.4858,-3.29E-10
39,1.5,1.15,8.29E-02,-1.399,-3.11E-10
37.5,1.5,1.15,8.18E-02,-1.3132,-2.93E-10
36,1.5,1.15,8.05E-02,-1.2286,-2.75E-10
34.5,1.5,1.15,7.90E-02,-1.1454,-2.58E-10
33,1.5,1.15,7.74E-02,-1.0638,-2.40E-10
31.5,1.5,1.15,7.56E-02,-0.98377,-2.23E-10
30,1.5,1.15,7.37E-02,-0.90565,-2.06E-10
28.5,1.5,1.15,7.16E-02,-0.82958,-1.89E-10
27,1.5,1.15,6.93E-02,-0.75571,-1.73E-10
25.5,1.5,1.15,6.68E-02,-0.68422,-1.57E-10
24,1.5,1.15,6.42E-02,-0.61527,-1.41E-10
22.5,1.5,1.15,6.14E-02,-0.54905,-1.26E-10
21,1.5,1.15,5.84E-02,-0.48571,-1.12E-10
19.5,1.5,1.15,5.53E-02,-0.42543,-9.81E-11
18,1.5,1.15,5.20E-02,-0.36837,-8.50E-11
16.5,1.5,1.15,4.85E-02,-0.31472,-7.26E-11
15,1.5,1.15,4.48E-02,-0.26462,-6.10E-11
13.5,1.5,1.15,4.10E-02,-0.21827,-5.02E-11
12,1.5,1.15,3.70E-02,-0.17582,-4.03E-11
10.5,1.5,1.15,3.28E-02,-0.13744,-3.14E-11
9,1.5,1.15,2.85E-02,-0.10331,-2.35E-11
7.5,1.5,1.15,2.40E-02,-7.36E-02,-1.66E-11
6,1.5,1.15,1.93E-02,-4.84E-02,-1.09E-11
4.5,1.5,1.15,1.44E-02,-2.81E-02,-6.29E-12
3,1.5,1.15,9.34E-03,-1.28E-02,-2.89E-12
1.5,1.5,1.15,4.42E-03,-3.06E-03,-7.69E-13
46.5,0,1.15,-2.63E-13,-1.8395,-4.01E-10
45,0,1.15,-2.46E-13,-1.7506,-3.83E-10
43.5,0,1.15,-2.56E-13,-1.6617,-3.65E-10
42,0,1.15,-2.61E-13,-1.5733,-3.47E-10
40.5,0,1.15,-2.79E-13,-1.4856,-3.29E-10
39,0,1.15,-2.96E-13,-1.3988,-3.11E-10
37.5,0,1.15,-2.90E-13,-1.313,-2.94E-10
36,0,1.15,-2.84E-13,-1.2284,-2.76E-10
34.5,0,1.15,-2.66E-13,-1.1452,-2.58E-10
33,0,1.15,-2.49E-13,-1.0635,-2.41E-10
31.5,0,1.15,-2.36E-13,-0.98349,-2.23E-10
30,0,1.15,-2.19E-13,-0.90535,-2.06E-10
28.5,0,1.15,-2.17E-13,-0.82925,-1.89E-10
27,0,1.15,-2.06E-13,-0.75535,-1.73E-10
25.5,0,1.15,-1.95E-13,-0.68384,-1.57E-10
24,0,1.15,-1.79E-13,-0.61487,-1.42E-10
22.5,0,1.15,-1.67E-13,-0.54862,-1.27E-10
21,0,1.15,-1.53E-13,-0.48525,-1.12E-10
19.5,0,1.15,-1.43E-13,-0.42494,-9.84E-11
18,0,1.15,-1.32E-13,-0.36786,-8.53E-11
16.5,0,1.15,-1.21E-13,-0.31418,-7.29E-11
15,0,1.15,-1.08E-13,-0.26406,-6.12E-11
13.5,0,1.15,-9.67E-14,-0.21768,-5.04E-11
12,0,1.15,-8.57E-14,-0.17521,-4.06E-11
10.5,0,1.15,-7.47E-14,-0.1368,-3.16E-11
9,0,1.15,-6.38E-14,-0.10264,-2.37E-11
7.5,0,1.15,-5.27E-14,-7.29E-02,-1.68E-11
6,0,1.15,-4.15E-14,-4.77E-02,-1.10E-11
4.5,0,1.15,-3.05E-14,-2.73E-02,-6.39E-12
3,0,1.15,-1.96E-14,-1.21E-02,-2.95E-12
1.5,0,1.15,-9.31E-15,-2.68E-03,-7.89E-13
46.5,-1.5,1.15,-8.55E-02,-1.8396,-4.01E-10
45,-1.5,1.15,-8.54E-02,-1.7506,-3.84E-10
43.5,-1.5,1.15,-8.50E-02,-1.6618,-3.66E-10
42,-1.5,1.15,-8.45E-02,-1.5734,-3.48E-10
40.5,-1.5,1.15,-8.38E-02,-1.4858,-3.30E-10
39,-1.5,1.15,-8.29E-02,-1.399,-3.12E-10
37.5,-1.5,1.15,-8.18E-02,-1.3132,-2.94E-10
36,-1.5,1.15,-8.05E-02,-1.2286,-2.76E-10
34.5,-1.5,1.15,-7.90E-02,-1.1454,-2.58E-10
33,-1.5,1.15,-7.74E-02,-1.0638,-2.41E-10
31.5,-1.5,1.15,-7.56E-02,-0.98377,-2.23E-10
30,-1.5,1.15,-7.37E-02,-0.90565,-2.06E-10
28.5,-1.5,1.15,-7.16E-02,-0.82958,-1.90E-10
27,-1.5,1.15,-6.93E-02,-0.75571,-1.73E-10
25.5,-1.5,1.15,-6.68E-02,-0.68422,-1.57E-10
24,-1.5,1.15,-6.42E-02,-0.61527,-1.42E-10
22.5,-1.5,1.15,-6.14E-02,-0.54905,-1.27E-10
21,-1.5,1.15,-5.84E-02,-0.48571,-1.12E-10
19.5,-1.5,1.15,-5.53E-02,-0.42543,-9.85E-11
18,-1.5,1.15,-5.20E-02,-0.36837,-8.53E-11
16.5,-1.5,1.15,-4.85E-02,-0.31472,-7.29E-11
15,-1.5,1.15,-4.48E-02,-0.26462,-6.12E-11
13.5,-1.5,1.15,-4.10E-02,-0.21827,-5.04E-11
12,-1.5,1.15,-3.70E-02,-0.17582,-4.05E-11
10.5,-1.5,1.15,-3.28E-02,-0.13744,-3.16E-11
9,-1.5,1.15,-2.85E-02,-0.10331,-2.36E-11
7.5,-1.5,1.15,-2.40E-02,-7.36E-02,-1.67E-11
6,-1.5,1.15,-1.93E-02,-4.84E-02,-1.10E-11
4.5,-1.5,1.15,-1.44E-02,-2.81E-02,-6.34E-12
3,-1.5,1.15,-9.34E-03,-1.28E-02,-2.92E-12
1.5,-1.5,1.15,-4.42E-03,-3.06E-03,-7.78E-13
46.5,-3,1.15,-0.17167,-1.84,-4.02E-10
45,-3,1.15,-0.17131,-1.7507,-3.84E-10
43.5,-3,1.15,-0.17058,-1.6619,-3.66E-10
42,-3,1.15,-0.16946,-1.5737,-3.48E-10
40.5,-3,1.15,-0.16797,-1.4861,-3.30E-10
39,-3,1.15,-0.16611,-1.3994,-3.12E-10
37.5,-3,1.15,-0.16391,-1.3137,-2.94E-10
36,-3,1.15,-0.16136,-1.2293,-2.77E-10
34.5,-3,1.15,-0.15847,-1.1461,-2.59E-10
33,-3,1.15,-0.15525,-1.0645,-2.41E-10
31.5,-3,1.15,-0.15168,-0.98461,-2.24E-10
30,-3,1.15,-0.14777,-0.90657,-2.07E-10
28.5,-3,1.15,-0.14353,-0.83057,-1.90E-10
27,-3,1.15,-0.13894,-0.75678,-1.73E-10
25.5,-3,1.15,-0.13402,-0.68536,-1.57E-10
24,-3,1.15,-0.12875,-0.6165,-1.42E-10
22.5,-3,1.15,-0.12315,-0.55035,-1.27E-10
21,-3,1.15,-0.1172,-0.48709,-1.12E-10
19.5,-3,1.15,-0.11092,-0.42688,-9.83E-11
18,-3,1.15,-0.1043,-0.3699,-8.52E-11
16.5,-3,1.15,-9.73E-02,-0.31632,-7.27E-11
15,-3,1.15,-9.00E-02,-0.26631,-6.10E-11
13.5,-3,1.15,-8.24E-02,-0.22003,-5.02E-11
12,-3,1.15,-7.44E-02,-0.17766,-4.03E-11
10.5,-3,1.15,-6.61E-02,-0.13936,-3.13E-11
9,-3,1.15,-5.74E-02,-0.10531,-2.33E-11
7.5,-3,1.15,-4.84E-02,-7.57E-02,-1.64E-11
6,-3,1.15,-3.90E-02,-5.06E-02,-1.07E-11
4.5,-3,1.15,-2.92E-02,-3.03E-02,-6.12E-12
3,-3,1.15,-1.91E-02,-1.47E-02,-2.77E-12
1.5,-3,1.15,-9.05E-03,-4.26E-03,-7.25E-13
46.5,-4.5,1.15,-0.25899,-1.8403,-4.03E-10
45,-4.5,1.15,-0.2583,-1.7509,-3.85E-10
43.5,-4.5,1.15,-0.25703,-1.6623,-3.67E-10
42,-4.5,1.15,-0.25525,-1.5742,-3.49E-10
40.5,-4.5,1.15,-0.25296,-1.4867,-3.31E-10
39,-4.5,1.15,-0.25015,-1.4002,-3.13E-10
37.5,-4.5,1.15,-0.24684,-1.3146,-2.95E-10
36,-4.5,1.15,-0.24302,-1.2303,-2.77E-10
34.5,-4.5,1.15,-0.23869,-1.1473,-2.59E-10
33,-4.5,1.15,-0.23385,-1.0658,-2.41E-10
31.5,-4.5,1.15,-0.2285,-0.98601,-2.24E-10
30,-4.5,1.15,-0.22264,-0.9081,-2.07E-10
28.5,-4.5,1.15,-0.21627,-0.83223,-1.90E-10
27,-4.5,1.15,-0.20939,-0.75856,-1.73E-10
25.5,-4.5,1.15,-0.202,-0.68727,-1.57E-10
24,-4.5,1.15,-0.1941,-0.61854,-1.42E-10
22.5,-4.5,1.15,-0.1857,-0.55251,-1.26E-10
21,-4.5,1.15,-0.17678,-0.48938,-1.12E-10
19.5,-4.5,1.15,-0.16736,-0.4293,-9.80E-11
18,-4.5,1.15,-0.15742,-0.37245,-8.48E-11
16.5,-4.5,1.15,-0.14698,-0.319,-7.23E-11
15,-4.5,1.15,-0.13602,-0.26911,-6.06E-11
13.5,-4.5,1.15,-0.12456,-0.22296,-4.97E-11
12,-4.5,1.15,-0.11258,-0.18071,-3.97E-11
10.5,-4.5,1.15,-0.1001,-0.14255,-3.07E-11
9,-4.5,1.15,-8.71E-02,-0.10863,-2.27E-11
7.5,-4.5,1.15,-7.36E-02,-7.91E-02,-1.59E-11
6,-4.5,1.15,-5.96E-02,-5.42E-02,-1.01E-11
4.5,-4.5,1.15,-4.51E-02,-3.40E-02,-5.65E-12
3,-4.5,1.15,-2.99E-02,-1.83E-02,-2.44E-12
1.5,-4.5,1.15,-1.47E-02,-7.22E-03,-5.63E-13
48,-4.5,1.15,-0.25938,-1.9306,-4.21E-10
48,-3,1.15,-0.17193,-1.9293,-4.20E-10
48,-1.5,1.15,-8.57E-02,-1.9283,-4.19E-10
48,0,1.15,-2.69E-13,-1.928,-4.19E-10
48,1.5,1.15,8.57E-02,-1.9283,-4.18E-10
48,3,1.15,0.17193,-1.9293,-4.17E-10
48,4.5,1.15,0.25938,-1.9306,-4.17E-10
0,4.5,1.15,0,0,0
0,3,1.15,0,0,0
0,1.5,1.15,0,0,0
0,0,1.15,0,0,0
0,-1.5,1.15,0,0,0
0,-3,1.15,0,0,0
0,-4.5,1.15,0,0,0
0,4.5,0,0,0,0
0,3,0,0,0,0
0,1.5,0,0,0,0
0,4.5,2.3,0,0,0
0,3,2.3,0,0,0
0,1.5,2.3,0,0,0
0,0,2.3,0,0,0
0,-1.5,2.3,0,0,0
0,-3,2.3,0,0,0
0,-4.5,2.3,0,0,0
0,-6,1.15,0,0,0
0,-6,2.3,0,0,0
0,6,0,0,0,0
0,6,1.15,0,0,0
0,6,2.3,0,0,0
0,0,0,0,0,0
0,-1.5,0,0,0,0
0,-3,0,0,0,0
0,-4.5,0,0,0,0
0,-6,0,0,0,0
46.5,-1.5,0,-8.55E-02,-1.8397,3.36E-05
45,-1.5,0,-8.54E-02,-1.7506,-4.76E-05
43.5,-1.5,0,-8.50E-02,-1.6617,-1.06E-04
42,-1.5,0,-8.45E-02,-1.5734,-1.53E-04
40.5,-1.5,0,-8.38E-02,-1.4857,-1.95E-04
39,-1.5,0,-8.28E-02,-1.3989,-2.34E-04
37.5,-1.5,0,-8.17E-02,-1.3131,-2.74E-04
36,-1.5,0,-8.05E-02,-1.2285,-3.13E-04
34.5,-1.5,0,-7.90E-02,-1.1453,-3.52E-04
33,-1.5,0,-7.74E-02,-1.0636,-3.91E-04
31.5,-1.5,0,-7.56E-02,-0.9836,-4.30E-04
30,-1.5,0,-7.37E-02,-0.90547,-4.69E-04
28.5,-1.5,0,-7.16E-02,-0.82938,-5.08E-04
27,-1.5,0,-6.93E-02,-0.7555,-5.47E-04
25.5,-1.5,0,-6.68E-02,-0.68399,-5.86E-04
24,-1.5,0,-6.42E-02,-0.61503,-6.25E-04
22.5,-1.5,0,-6.14E-02,-0.54879,-6.64E-04
21,-1.5,0,-5.84E-02,-0.48544,-7.03E-04
19.5,-1.5,0,-5.52E-02,-0.42514,-7.42E-04
18,-1.5,0,-5.19E-02,-0.36807,-7.81E-04
16.5,-1.5,0,-4.85E-02,-0.3144,-8.20E-04
15,-1.5,0,-4.48E-02,-0.26429,-8.59E-04
13.5,-1.5,0,-4.10E-02,-0.21792,-8.98E-04
12,-1.5,0,-3.70E-02,-0.17546,-9.37E-04
10.5,-1.5,0,-3.28E-02,-0.13707,-9.77E-04
9,-1.5,0,-2.85E-02,-0.10292,-1.02E-03
7.5,-1.5,0,-2.40E-02,-7.32E-02,-1.06E-03
6,-1.5,0,-1.92E-02,-4.80E-02,-1.10E-03
4.5,-1.5,0,-1.43E-02,-2.76E-02,-1.16E-03
3,-1.5,0,-9.31E-03,-1.23E-02,-1.24E-03
1.5,-1.5,0,-4.43E-03,-2.61E-03,-1.27E-03
46.5,-3,0,-0.1716,-1.8399,3.39E-05
45,-3,0,-0.17126,-1.7507,-1.18E-04
43.5,-3,0,-0.17055,-1.6619,-2.24E-04
42,-3,0,-0.16943,-1.5736,-3.11E-04
40.5,-3,0,-0.16794,-1.486,-3.91E-04
39,-3,0,-0.16608,-1.3993,-4.69E-04
37.5,-3,0,-0.16388,-1.3136,-5.47E-04
36,-3,0,-0.16133,-1.2291,-6.25E-04
34.5,-3,0,-0.15844,-1.146,-7.03E-04
33,-3,0,-0.15522,-1.0644,-7.81E-04
31.5,-3,0,-0.15165,-0.98444,-8.59E-04
30,-3,0,-0.14774,-0.90639,-9.38E-04
28.5,-3,0,-0.1435,-0.83038,-1.02E-03
27,-3,0,-0.13891,-0.75657,-1.09E-03
25.5,-3,0,-0.13399,-0.68514,-1.17E-03
24,-3,0,-0.12872,-0.61626,-1.25E-03
22.5,-3,0,-0.12312,-0.55009,-1.33E-03
21,-3,0,-0.11717,-0.48682,-1.41E-03
19.5,-3,0,-0.11089,-0.4266,-1.48E-03
18,-3,0,-0.10427,-0.3696,-1.56E-03
16.5,-3,0,-9.73E-02,-0.31601,-1.64E-03
15,-3,0,-9.00E-02,-0.26598,-1.72E-03
13.5,-3,0,-8.24E-02,-0.21968,-1.80E-03
12,-3,0,-7.44E-02,-0.1773,-1.87E-03
10.5,-3,0,-6.60E-02,-0.13899,-1.95E-03
9,-3,0,-5.74E-02,-0.10492,-2.03E-03
7.5,-3,0,-4.83E-02,-7.53E-02,-2.11E-03
6,-3,0,-3.89E-02,-5.02E-02,-2.20E-03
4.5,-3,0,-2.92E-02,-2.98E-02,-2.30E-03
3,-3,0,-1.90E-02,-1.43E-02,-2.44E-03
1.5,-3,0,-9.06E-03,-3.81E-03,-2.52E-03
46.5,-4.5,0,-0.25889,-1.8402,-5.16E-05
45,-4.5,0,-0.25825,-1.7509,-2.32E-04
43.5,-4.5,0,-0.25699,-1.6622,-3.59E-04
42,-4.5,0,-0.25521,-1.5741,-4.74E-04
40.5,-4.5,0,-0.25291,-1.4867,-5.89E-04
39,-4.5,0,-0.25011,-1.4001,-7.04E-04
37.5,-4.5,0,-0.2468,-1.3145,-8.21E-04
36,-4.5,0,-0.24297,-1.2302,-9.38E-04
34.5,-4.5,0,-0.23864,-1.1471,-1.05E-03
33,-4.5,0,-0.2338,-1.0656,-1.17E-03
31.5,-4.5,0,-0.22845,-0.98585,-1.29E-03
30,-4.5,0,-0.22259,-0.90792,-1.41E-03
28.5,-4.5,0,-0.21622,-0.83203,-1.52E-03
27,-4.5,0,-0.20935,-0.75835,-1.64E-03
25.5,-4.5,0,-0.20196,-0.68705,-1.76E-03
24,-4.5,0,-0.19406,-0.6183,-1.88E-03
22.5,-4.5,0,-0.18565,-0.55226,-1.99E-03
21,-4.5,0,-0.17674,-0.48911,-2.11E-03
19.5,-4.5,0,-0.16731,-0.42902,-2.23E-03
18,-4.5,0,-0.15738,-0.37215,-2.34E-03
16.5,-4.5,0,-0.14693,-0.31868,-2.46E-03
15,-4.5,0,-0.13598,-0.26878,-2.58E-03
13.5,-4.5,0,-0.12451,-0.22261,-2.70E-03
12,-4.5,0,-0.11254,-0.18036,-2.81E-03
10.5,-4.5,0,-0.10006,-0.14217,-2.93E-03
9,-4.5,0,-8.71E-02,-0.10824,-3.04E-03
7.5,-4.5,0,-7.36E-02,-7.87E-02,-3.16E-03
6,-4.5,0,-5.95E-02,-5.38E-02,-3.28E-03
4.5,-4.5,0,-4.50E-02,-3.35E-02,-3.41E-03
3,-4.5,0,-2.98E-02,-1.79E-02,-3.58E-03
1.5,-4.5,0,-1.47E-02,-6.84E-03,-3.77E-03
48,-1.5,0,-8.56E-02,-1.9284,1.44E-04
48,-3,0,-0.17184,-1.9293,2.62E-04
48,-4.5,0,-0.25922,-1.9305,3.27E-04
48,0,0,-1.39E-11,-1.9281,-4.19E-10
46.5,0,0,-1.40E-11,-1.8395,-4.01E-10
45,0,0,-1.40E-11,-1.7505,-3.83E-10
43.5,0,0,-1.40E-11,-1.6617,-3.65E-10
42,0,0,-1.40E-11,-1.5733,-3.47E-10
40.5,0,0,-1.40E-11,-1.4856,-3.29E-10
39,0,0,-1.40E-11,-1.3987,-3.11E-10
37.5,0,0,-1.39E-11,-1.3129,-2.94E-10
36,0,0,-1.39E-11,-1.2283,-2.76E-10
34.5,0,0,-1.38E-11,-1.1451,-2.58E-10
33,0,0,-1.36E-11,-1.0633,-2.41E-10
31.5,0,0,-1.34E-11,-0.98332,-2.23E-10
30,0,0,-1.32E-11,-0.90517,-2.06E-10
28.5,0,0,-1.29E-11,-0.82905,-1.89E-10
27,0,0,-1.26E-11,-0.75514,-1.73E-10
25.5,0,0,-1.22E-11,-0.68361,-1.57E-10
24,0,0,-1.19E-11,-0.61463,-1.42E-10
22.5,0,0,-1.14E-11,-0.54836,-1.27E-10
21,0,0,-1.10E-11,-0.48498,-1.12E-10
19.5,0,0,-1.04E-11,-0.42466,-9.84E-11
18,0,0,-9.90E-12,-0.36756,-8.53E-11
16.5,0,0,-9.31E-12,-0.31387,-7.29E-11
15,0,0,-8.68E-12,-0.26373,-6.13E-11
13.5,0,0,-8.01E-12,-0.21734,-5.05E-11
12,0,0,-7.29E-12,-0.17485,-4.07E-11
10.5,0,0,-6.53E-12,-0.13643,-3.17E-11
9,0,0,-5.72E-12,-0.10225,-2.38E-11
7.5,0,0,-4.88E-12,-7.25E-02,-1.69E-11
6,0,0,-4.00E-12,-4.73E-02,-1.11E-11
4.5,0,0,-3.08E-12,-2.69E-02,-6.52E-12
3,0,0,-2.13E-12,-1.17E-02,-3.09E-12
1.5,0,0,-1.10E-12,-2.23E-03,-9.19E-13
1.5,-6,0,-2.25E-02,-1.13E-02,-4.49E-03
3,-6,0,-4.24E-02,-2.32E-02,-4.55E-03
4.5,-6,0,-6.21E-02,-3.87E-02,-4.47E-03
6,-6,0,-8.13E-02,-5.88E-02,-4.35E-03
7.5,-6,0,-9.99E-02,-8.35E-02,-4.21E-03
9,-6,0,-0.11792,-0.11288,-4.06E-03
10.5,-6,0,-0.13524,-0.14663,-3.91E-03
12,-6,0,-0.15188,-0.18463,-3.75E-03
13.5,-6,0,-0.16784,-0.22671,-3.59E-03
15,-6,0,-0.18313,-0.2727,-3.44E-03
16.5,-6,0,-0.19773,-0.32243,-3.28E-03
18,-6,0,-0.21166,-0.37572,-3.13E-03
19.5,-6,0,-0.22491,-0.4324,-2.97E-03
21,-6,0,-0.23748,-0.49232,-2.81E-03
22.5,-6,0,-0.24936,-0.55529,-2.66E-03
24,-6,0,-0.26057,-0.62115,-2.50E-03
25.5,-6,0,-0.2711,-0.68973,-2.34E-03
27,-6,0,-0.28095,-0.76085,-2.19E-03
28.5,-6,0,-0.29012,-0.83435,-2.03E-03
30,-6,0,-0.29862,-0.91006,-1.88E-03
31.5,-6,0,-0.30643,-0.98781,-1.72E-03
33,-6,0,-0.31356,-1.0674,-1.56E-03
34.5,-6,0,-0.32002,-1.1487,-1.41E-03
36,-6,0,-0.32579,-1.2316,-1.25E-03
37.5,-6,0,-0.33089,-1.3158,-1.09E-03
39,-6,0,-0.3353,-1.4012,-9.39E-04
40.5,-6,0,-0.33905,-1.4876,-7.85E-04
42,-6,0,-0.34214,-1.5748,-6.37E-04
43.5,-6,0,-0.3446,-1.6627,-5.02E-04
45,-6,0,-0.34652,-1.7513,-3.92E-04
46.5,-6,0,-0.348,-1.8405,-3.33E-04
48,-6,0,-0.3492,-1.9317,1.14E-05
46.5,6,1.15,0.34809,-1.8406,-3.98E-10
45,6,1.15,0.34657,-1.7513,-3.81E-10
43.5,6,1.15,0.34465,-1.6628,-3.63E-10
42,6,1.15,0.34219,-1.5749,-3.45E-10
40.5,6,1.15,0.3391,-1.4876,-3.27E-10
39,6,1.15,0.33536,-1.4013,-3.09E-10
37.5,6,1.15,0.33094,-1.3159,-2.92E-10
36,6,1.15,0.32584,-1.2317,-2.74E-10
34.5,6,1.15,0.32007,-1.1489,-2.56E-10
33,6,1.15,0.31362,-1.0676,-2.39E-10
31.5,6,1.15,0.30648,-0.98797,-2.21E-10
30,6,1.15,0.29867,-0.91024,-2.04E-10
28.5,6,1.15,0.29018,-0.83455,-1.87E-10
27,6,1.15,0.28101,-0.76106,-1.71E-10
25.5,6,1.15,0.27116,-0.68995,-1.55E-10
24,6,1.15,0.26063,-0.62139,-1.39E-10
22.5,6,1.15,0.24942,-0.55554,-1.24E-10
21,6,1.15,0.23753,-0.49259,-1.10E-10
19.5,6,1.15,0.22496,-0.43269,-9.61E-11
18,6,1.15,0.21171,-0.37602,-8.29E-11
16.5,6,1.15,0.19779,-0.32274,-7.04E-11
15,6,1.15,0.18318,-0.27303,-5.88E-11
13.5,6,1.15,0.1679,-0.22706,-4.80E-11
12,6,1.15,0.15193,-0.18499,-3.81E-11
10.5,6,1.15,0.13529,-0.14701,-2.91E-11
9,6,1.15,0.11797,-0.11327,-2.13E-11
7.5,6,1.15,1.00E-01,-8.39E-02,-1.45E-11
6,6,1.15,8.14E-02,-5.92E-02,-8.94E-12
4.5,6,1.15,6.22E-02,-3.91E-02,-4.64E-12
3,6,1.15,4.25E-02,-2.36E-02,-1.66E-12
1.5,6,1.15,2.26E-02,-1.20E-02,-1.11E-13
48,6,1.15,0.34938,-1.9319,-4.16E-10
48,6,0,0.3492,-1.9317,-1.14E-05
46.5,6,0,0.348,-1.8405,3.33E-04
45,6,0,0.34652,-1.7513,3.92E-04
43.5,6,0,0.3446,-1.6627,5.02E-04
42,6,0,0.34214,-1.5748,6.37E-04
40.5,6,0,0.33905,-1.4876,7.85E-04
39,6,0,0.3353,-1.4012,9.39E-04
37.5,6,0,0.33089,-1.3158,1.09E-03
36,6,0,0.32579,-1.2316,1.25E-03
34.5,6,0,0.32002,-1.1487,1.41E-03
33,6,0,0.31356,-1.0674,1.56E-03
31.5,6,0,0.30643,-0.98781,1.72E-03
30,6,0,0.29862,-0.91006,1.88E-03
28.5,6,0,0.29012,-0.83435,2.03E-03
27,6,0,0.28095,-0.76085,2.19E-03
25.5,6,0,0.2711,-0.68973,2.34E-03
24,6,0,0.26057,-0.62115,2.50E-03
22.5,6,0,0.24936,-0.55529,2.66E-03
21,6,0,0.23748,-0.49232,2.81E-03
19.5,6,0,0.22491,-0.4324,2.97E-03
18,6,0,0.21166,-0.37572,3.13E-03
16.5,6,0,0.19773,-0.32243,3.28E-03
15,6,0,0.18313,-0.2727,3.44E-03
13.5,6,0,0.16784,-0.22671,3.59E-03
12,6,0,0.15188,-0.18463,3.75E-03
10.5,6,0,0.13524,-0.14663,3.91E-03
9,6,0,0.11792,-0.11288,4.06E-03
7.5,6,0,9.99E-02,-8.35E-02,4.21E-03
6,6,0,8.13E-02,-5.88E-02,4.35E-03
